,ID,Plant_ID,Temp,OE_treatment,Milkweed,Lineage,OE_strain,PlotNum,ibutton,Surv_pupa,Surv_adult,PupalMass,Date_inoculated,Date_into_pint,PupalScore,Date_PupScore,Eclosion_Date,Sex,OE_tape_score,InfectionStatus,Death_date,Notes,Inoc_to_pupa,AdultLongevity,AvgOE_corner,OE_5ml,LogOE,ForewingLength.mm.,CtoN,CtoN_Jul
223,112a,112,elevated,control,swamp,E,C,30,T19,1,1,1.489,6/10/2021,6/25/2021,,,6/29/2021,M,0,0,7/24/2021,,15,25,NA,NA,NA,52.6,,
224,112b,112,elevated,control,swamp,E,C,30,T19,1,1,1.357,6/10/2021,6/25/2021,,,6/28/2021,F,0,0,7/14/2021,,15,16,NA,NA,NA,52,,
225,113a,113,ambient,infected,tropical,C,E6,31,H8,1,1,1.321,6/11/2021,6/27/2021,2,29-Jun,6/30/2021,F,NA,1,7/20/2021,,16,20,2,100000,5.000004343,52.7,9.96,
226,113b,113,ambient,infected,tropical,C,E6,31,H8,1,1,1.528,6/11/2021,6/27/2021,2,29-Jun,7/1/2021,M,NA,1,7/17/2021,,16,16,0.75,37500,4.574042849,54.6,9.96,
227,114a,114,ambient,control,tropical,B,C,31,H8,1,1,1.295,6/10/2021,6/24/2021,,,6/30/2021,F,0,0,7/20/2021,,14,20,NA,NA,NA,52.6,,
228,114b,114,ambient,control,tropical,B,C,31,H8,1,1,1.24,6/10/2021,6/24/2021,,,6/28/2021,F,0,0,7/10/2021,,14,12,NA,NA,NA,51.8,,
229,115a,115,ambient,infected,swamp,C,WV1,31,H8,1,1,1.228,6/11/2021,6/23/2021,0,26-Jun,6/28/2021,M,0,0,7/18/2021,,12,20,NA,NA,NA,50.8,,
230,115b,115,ambient,infected,swamp,C,WV1,31,H8,1,1,1.253,6/11/2021,6/23/2021,0,26-Jun,6/28/2021,M,5,1,7/14/2021,,12,16,0.6,30000,4.477135731,51.4,,
231,116a,116,ambient,control,swamp,A,C,31,H8,1,1,1.398,6/10/2021,6/23/2021,,,6/28/2021,M,0,0,7/10/2021,,13,12,NA,NA,NA,53.8,,
232,116b,116,ambient,control,swamp,A,C,31,H8,1,1,1.265,6/10/2021,6/23/2021,,,6/28/2021,F,0,0,7/26/2021,,13,28,NA,NA,NA,51.6,,
233,117a,117,elevated,infected,tropical,B,E6,32,T16,1,1,1.447,6/11/2021,6/26/2021,1,28-Jun,6/29/2021,M,0,0,7/17/2021,,15,18,NA,NA,NA,53.7,,
234,117b,117,elevated,infected,tropical,B,E6,32,T16,1,1,1.238,6/11/2021,6/26/2021,1,28-Jun,6/30/2021,M,5,1,7/8/2021,,15,8,7.3,365000,5.562294054,50.3,,
235,118a,118,elevated,control,tropical,E,C,32,T16,1,1,1.546,6/10/2021,6/27/2021,,,7/1/2021,M,0,0,7/29/2021,,17,28,NA,NA,NA,55.2,,
236,118b,118,elevated,control,tropical,E,C,32,T16,1,1,1.477,6/10/2021,6/27/2021,,,6/30/2021,M,0,0,7/26/2021,,17,26,NA,NA,NA,52.5,,
237,119a,119,elevated,infected,swamp,A,WV1,32,T16,1,1,1.463,6/11/2021,6/26/2021,2,28-Jun,6/30/2021,M,NA,1,7/18/2021,,15,18,0.45,22500,4.35220182,54.4,,
238,119b,119,elevated,infected,swamp,A,WV1,32,T16,1,1,1.341,6/11/2021,6/26/2021,2,28-Jun,6/29/2021,F,NA,1,7/10/2021,,15,11,5.35,267500,5.42732541,53.9,,
239,120a,120,elevated,control,swamp,A,C,32,T16,1,1,1.31,6/10/2021,6/25/2021,,,6/29/2021,F,0,0,7/24/2021,,15,25,NA,NA,NA,51.8,8.84,
240,120b,120,elevated,control,swamp,A,C,32,T16,1,1,1.467,6/10/2021,6/25/2021,,,6/29/2021,M,0,0,7/19/2021,,15,20,NA,NA,NA,51.8,8.84,
