,ID,Plant_ID,Temp,OE_treatment,Milkweed,Lineage,OE_strain,PlotNum,ibutton,Surv_pupa,Surv_adult,PupalMass,Date_inoculated,Date_into_pint,PupalScore,Date_PupScore,Eclosion_Date,Sex,OE_tape_score,InfectionStatus,Death_date,Notes,Inoc_to_pupa,AdultLongevity,AvgOE_corner,OE_5ml,LogOE,ForewingLength.mm.,CtoN,CtoN_Jul
119,60a,60,elevated,control,swamp,C,C,17,T18,1,1,1.221,6/10/2021,6/24/2021,,,6/29/2021,F,0,0,7/15/2021,,14,16,NA,NA,NA,49.9,,
120,60b,60,elevated,control,swamp,C,C,17,T18,1,1,1.445,6/10/2021,6/24/2021,,,6/28/2021,M,0,0,7/18/2021,,14,20,NA,NA,NA,50.9,,
121,61a,61,ambient,infected,tropical,A,WV1,18,T13,1,1,1.333,6/10/2021,6/23/2021,1,26-Jun,6/28/2021,M,0,0,7/16/2021,,13,18,NA,NA,NA,52.3,,
122,61b,61,ambient,infected,tropical,A,WV1,18,T13,1,1,1.277,6/10/2021,6/23/2021,0,26-Jun,6/28/2021,M,0,0,6/27/2021,,13,29,0,0,0,52.4,,
123,62a,62,ambient,control,tropical,B,C,18,T13,1,1,1.22,6/10/2021,6/28/2021,,,7/2/2021,M,0,0,7/20/2021,,18,18,NA,NA,NA,50.4,8.69,13.54
124,62b,62,ambient,control,tropical,B,C,18,T13,0,0,NA,6/10/2021,NA,,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,8.69,13.54
125,63a,63,ambient,infected,swamp,A,E6,18,T13,1,1,1.441,6/10/2021,6/23/2021,3,27-Jun,6/28/2021,M,NA,1,7/8/2021,,13,10,27.65,1382500,6.140665454,52.7,7.9,
126,63b,63,ambient,infected,swamp,A,E6,18,T13,1,1,1.348,6/10/2021,6/23/2021,3,27-Jun,6/28/2021,F,NA,1,7/11/2021,,13,13,6.7,335000,5.525046103,52.9,7.9,
127,64a,64,ambient,control,swamp,C,C,18,T13,1,1,1.247,6/10/2021,6/24/2021,,,6/28/2021,F,0,0,7/16/2021,,14,18,NA,NA,NA,51.5,,
128,64b,64,ambient,control,swamp,C,C,18,T13,1,1,1.18,6/10/2021,6/24/2021,,,7/1/2021,F,0,0,7/17/2021,,14,16,NA,NA,NA,48.8,,
129,65a,65,elevated,infected,tropical,E,E6,19,H9,1,1,1.388,6/10/2021,6/25/2021,3,28-Jun,6/29/2021,M,NA,1,7/8/2021,,15,9,17.25,862500,5.935759607,53.5,,
130,65b,65,elevated,infected,tropical,E,E6,19,H9,1,1,1.435,6/10/2021,6/25/2021,4,28-Jun,6/30/2021,M,NA,1,7/6/2021,,15,6,17.95,897500,5.953034941,53.4,,
131,66a,66,elevated,control,tropical,C,C,19,H9,1,1,1.513,6/10/2021,6/27/2021,,,6/30/2021,M,0,0,7/21/2021,,17,21,NA,NA,NA,54.1,,
132,66b,66,elevated,control,tropical,C,C,19,H9,1,1,1.415,6/10/2021,6/27/2021,,,6/30/2021,M,0,0,7/18/2021,,17,18,NA,NA,NA,52.8,,
133,67a,67,elevated,infected,swamp,B,WV1,19,H9,1,1,1.461,6/10/2021,6/26/2021,4,28-Jun,6/30/2021,M,NA,1,7/7/2021,,16,7,19.7,985000,5.993436671,53.5,,
134,67b,67,elevated,infected,swamp,B,WV1,19,H9,1,1,1.505,6/10/2021,6/26/2021,2,28-Jun,6/30/2021,M,NA,1,7/6/2021,,16,6,57.125,2856250,6.455796369,52.8,,
135,68a,68,elevated,control,swamp,E,C,19,H9,1,1,1.576,6/10/2021,6/25/2021,,,6/29/2021,M,0,0,7/21/2021,,15,22,NA,NA,NA,52,9.97,9.75
136,68b,68,elevated,control,swamp,E,C,19,H9,1,1,1.414,6/10/2021,6/25/2021,,,6/29/2021,M,0,0,7/22/2021,,15,23,NA,NA,NA,51.9,9.97,9.75
137,69a,69,ambient,infected,tropical,A,E6,20,H6,1,1,1.266,6/10/2021,6/24/2021,1,26-Jun,6/28/2021,F,5,1,7/18/2021,,14,20,0.8,40000,4.602070849,53.7,9.39,13.85
138,69b,69,ambient,infected,tropical,A,E6,20,H6,1,1,1.622,6/10/2021,6/24/2021,0,26-Jun,6/30/2021,M,0,0,7/21/2021,,14,21,0,0,0,55.4,9.39,13.85
139,70a,70,ambient,control,tropical,C,C,20,H6,1,1,1.276,6/10/2021,6/25/2021,,,6/30/2021,F,0,0,7/18/2021,,15,18,NA,NA,NA,50.1,,
140,70b,70,ambient,control,tropical,C,C,20,H6,1,1,1.388,6/10/2021,6/25/2021,,,7/2/2021,M,0,0,7/19/2021,,15,17,NA,NA,NA,51.8,,
141,71a,71,ambient,infected,swamp,B,WV1,20,H6,1,1,1.403,6/10/2021,6/24/2021,0,26-Jun,6/29/2021,M,5,1,7/6/2021,,14,7,6.2,310000,5.491363095,53.3,,
142,71b,71,ambient,infected,swamp,B,WV1,20,H6,1,1,1.387,6/10/2021,6/24/2021,3,26-Jun,6/28/2021,M,NA,1,7/7/2021,,14,9,9.9,495000,5.694606076,53.2,,
143,72a,72,ambient,control,swamp,B,C,20,H6,1,1,1.447,6/10/2021,6/23/2021,,,6/29/2021,F,0,0,7/18/2021,,13,19,NA,NA,NA,53.8,,
144,72b,72,ambient,control,swamp,B,C,20,H6,1,1,1.411,6/10/2021,6/23/2021,,,6/29/2021,M,0,0,7/19/2021,,13,20,NA,NA,NA,53.2,,
145,73a,73,elevated,infected,tropical,E,WV1,21,T20,1,1,1.191,6/10/2021,6/26/2021,3,28-Jun,6/29/2021,M,NA,1,7/16/2021,,16,17,1.8,90000,4.954247335,46.7,8.22,
146,73b,73,elevated,infected,tropical,E,WV1,21,T20,1,1,1.528,6/10/2021,6/26/2021,3,29-Jun,7/1/2021,M,NA,1,7/9/2021,,16,8,8.45,422500,5.625827741,55,8.22,
147,74a,74,elevated,control,tropical,B,C,21,T20,1,1,1.189,6/10/2021,6/25/2021,,,6/28/2021,F,0,0,7/18/2021,,15,20,NA,NA,NA,51.1,,
148,74b,74,elevated,control,tropical,B,C,21,T20,0,0,NA,6/10/2021,NA,,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,,
149,75a,75,elevated,infected,swamp,C,E6,21,T20,1,1,1.233,6/10/2021,6/27/2021,5,29-Jun,6/30/2021,F,NA,1,7/6/2021,,17,6,12.1,605000,5.781756092,52.4,7.98,12.53
150,75b,75,elevated,infected,swamp,C,E6,21,T20,1,1,1.468,6/10/2021,6/27/2021,3,29-Jun,6/30/2021,M,NA,1,7/9/2021,,17,9,19.15,957500,5.981139236,54.6,7.98,12.53
151,76a,76,elevated,control,swamp,C,C,21,T20,1,1,1.303,6/10/2021,6/25/2021,,,6/29/2021,M,0,0,7/19/2021,,15,20,NA,NA,NA,51.9,,
152,76b,76,elevated,control,swamp,C,C,21,T20,1,1,1.409,6/10/2021,6/25/2021,,,6/29/2021,M,0,0,7/17/2021,,15,18,NA,NA,NA,52.8,,
153,77a,77,ambient,infected,tropical,E,WV1,22,T3,1,1,1.268,6/10/2021,6/24/2021,2,26-Jun,6/28/2021,F,NA,0,7/17/2021,,14,19,0,0,0,52.8,,
154,77b,77,ambient,infected,tropical,E,WV1,22,T3,1,1,1.49,6/10/2021,6/24/2021,1,26-Jun,6/30/2021,M,0,0,7/21/2021,,14,21,0,0,0,52.7,,
155,78a,78,ambient,control,tropical,E,C,22,T3,1,1,1.401,6/10/2021,6/25/2021,,,6/30/2021,M,0,0,7/22/2021,,15,22,NA,NA,NA,51.4,10.87,
156,78b,78,ambient,control,tropical,E,C,22,T3,1,1,1.562,6/10/2021,6/25/2021,,,6/30/2021,M,0,0,7/24/2021,,15,24,NA,NA,NA,53.9,10.87,
157,79a,79,ambient,infected,swamp,C,E6,22,T3,1,1,1.203,6/10/2021,6/24/2021,3,26-Jun,6/28/2021,F,NA,1,7/4/2021,,14,6,20.9,1045000,6.019116706,52.7,14.97,
158,79b,79,ambient,infected,swamp,C,E6,22,T3,1,1,1.481,6/10/2021,6/24/2021,0,26-Jun,6/29/2021,M,5,1,7/16/2021,,14,17,0.7,35000,4.544080453,53.1,14.97,
159,80a,80,ambient,control,swamp,A,C,22,T3,1,1,1.474,6/10/2021,6/23/2021,,,6/29/2021,M,0,0,7/26/2021,,13,27,NA,NA,NA,52.8,,
160,80b,80,ambient,control,swamp,A,C,22,T3,1,1,1.439,6/10/2021,6/23/2021,,,6/29/2021,F,0,0,7/14/2021,,13,15,NA,NA,NA,53.5,,
161,81a,81,elevated,infected,tropical,B,E6,23,H5,1,1,1.307,6/10/2021,6/25/2021,missed,,6/28/2021,F,5,1,7/10/2021,,15,12,4.2,210000,5.322221363,52.6,8.96,
162,81b,81,elevated,infected,tropical,B,E6,23,H5,1,1,1.297,6/10/2021,6/25/2021,missed,,6/28/2021,F,5,1,7/9/2021,,15,11,14.1,705000,5.848189733,51.8,8.96,
163,82a,82,elevated,control,tropical,A,C,23,H5,1,1,1.595,6/10/2021,6/24/2021,,,6/30/2021,M,0,0,7/29/2021,,14,29,NA,NA,NA,54.6,,
164,82b,82,elevated,control,tropical,A,C,23,H5,1,1,1.163,6/10/2021,6/24/2021,,,6/28/2021,F,0,0,7/16/2021,,14,18,NA,NA,NA,49.1,,
165,83a,83,elevated,infected,swamp,E,WV1,23,H5,1,1,1.164,6/10/2021,6/24/2021,2,26-Jun,6/28/2021,F,NA,1,7/6/2021,,14,8,7.75,387500,5.588272828,50.4,,
166,83b,83,elevated,infected,swamp,E,WV1,23,H5,1,1,1.423,6/10/2021,6/24/2021,1,26-Jun,6/29/2021,M,5,1,7/17/2021,,14,18,0.1,5000,3.699056855,52.4,,
167,84a,84,elevated,control,swamp,C,C,23,H5,1,1,1.276,6/10/2021,6/24/2021,,,6/29/2021,F,0,0,7/13/2021,,14,14,NA,NA,NA,51.6,,
168,84b,84,elevated,control,swamp,C,C,23,H5,1,1,1.115,6/10/2021,6/24/2021,,,6/28/2021,F,0,0,7/10/2021,,14,12,NA,NA,NA,49.1,,
169,85a,85,elevated,infected,tropical,B,E6,24,H4,1,1,1.476,6/10/2021,6/28/2021,3,29-Jun,7/1/2021,M,NA,1,7/12/2021,,18,11,12.5,625000,5.795880712,53.6,,
170,85b,85,elevated,infected,tropical,B,E6,24,H4,1,1,1.397,6/10/2021,6/28/2021,3,29-Jun,7/1/2021,M,NA,1,7/11/2021,,18,10,12.25,612500,5.787106802,54.7,,
171,86a,86,elevated,control,tropical,E,C,24,H4,0,0,NA,6/10/2021,NA,,,NA,NA,NA,NA,NA,spider found in net 6/16,NA,NA,NA,NA,NA,NA,8.88,
172,86b,86,elevated,control,tropical,E,C,24,H4,0,0,NA,6/10/2021,NA,,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,8.88,
